,local_time,date,latitude,longitude,depth,mag,magType,location
173,1981-08-18 23:47:05.630000+06:30,1981-08-18,25.455,96.176,33.0,4.8,mb,Kachin
174,1990-03-09 01:27:01.430000+06:30,1990-03-09,25.451999999999998,96.559,33.0,5.2,mw,Kachin
175,1981-08-17 00:10:56.850000+06:30,1981-08-17,25.45,96.641,35.3,4.7,mb,Kachin
176,2012-07-17 05:46:12.980000+06:30,2012-07-17,25.436999999999998,96.546,41.1,4.4,mb,Kachin
177,2005-01-06 20:49:48.410000+06:30,2005-01-06,25.434,96.603,44.2,4.7,mb,Kachin
178,1977-01-05 20:40:56.500000+06:30,1977-01-05,25.433000000000003,95.178,104.0,4.8,mb,Sagaing
179,2007-06-30 05:54:00.850000+06:30,2007-06-30,25.429000000000002,96.581,52.7,5.2,mwc,Kachin
180,2011-06-01 15:08:05.060000+06:30,2011-06-01,25.429000000000002,96.743,41.5,4.2,mb,Kachin
181,1982-08-31 05:43:35.600000+06:30,1982-08-31,25.421999999999997,96.64399999999999,33.3,4.7,mb,Kachin
182,1984-11-21 14:24:06.960000+06:30,1984-11-21,25.416999999999998,96.566,33.0,4.5,mb,Kachin
183,2001-05-26 21:21:45.550000+06:30,2001-05-26,25.410999999999998,95.126,84.5,4.7,mb,Sagaing
184,2004-07-16 05:15:47.210000+06:30,2004-07-16,25.406,96.604,48.2,4.3,mb,Kachin
185,2012-12-18 18:21:57.960000+06:30,2012-12-18,25.399,96.61,32.1,4.6,mb,Kachin
186,1995-09-20 23:56:33.830000+06:30,1995-09-20,25.396,96.625,17.6,4.8,mb,Kachin
187,1997-12-30 20:13:18.680000+06:30,1997-12-30,25.384,96.609,33.0,5.8,mwc,Kachin
188,1988-08-08 22:44:22.730000+06:30,1988-08-08,25.381999999999998,95.001,95.7,4.8,mb,Sagaing
189,2008-06-28 00:03:23.830000+06:30,2008-06-28,25.38,96.585,35.0,4.6,mb,Kachin
190,1998-08-10 19:04:10.220000+06:30,1998-08-10,25.375999999999998,96.52600000000001,33.0,4.4,mb,Kachin
191,2005-10-10 01:11:00.390000+06:30,2005-10-10,25.374000000000002,95.69200000000001,82.7,4.0,mb,Sagaing
192,1979-06-08 13:28:21.200000+06:30,1979-06-08,25.372,96.54700000000001,33.0,4.6,mb,Kachin
193,1985-08-22 23:34:57.130000+06:30,1985-08-22,25.365,95.7,83.2,3.8,mb,Sagaing
194,1997-12-30 18:24:06.560000+06:30,1997-12-30,25.362,96.571,33.0,4.7,ms,Kachin
195,2011-04-29 09:09:20.980000+06:30,2011-04-29,25.361,95.09899999999999,105.0,4.3,mb,Sagaing
196,2003-12-31 03:29:46.850000+06:30,2003-12-31,25.35,96.57799999999999,33.0,4.5,mb,Sagaing
197,1996-08-06 12:51:04.040000+06:30,1996-08-06,25.35,95.54,100.0,3.9,mb,Kachin
198,2012-07-10 02:43:07.390000+06:30,2012-07-10,25.346999999999998,96.529,31.0,5.1,mb,Kachin
199,2014-03-01 09:52:06.930000+06:30,2014-03-01,25.3458,96.5402,49.69,4.1,mb,Kachin
200,1998-04-16 01:06:40.890000+06:30,1998-04-16,25.340999999999998,96.68,33.0,3.8,mb,Kachin
201,1990-03-16 01:55:48.600000+06:30,1990-03-16,25.334,96.49799999999999,33.0,4.0,mb,Kachin
202,1976-04-05 04:58:26.400000+06:30,1976-04-05,25.33,96.65799999999999,39.0,4.9,mb,Kachin
203,2013-01-09 08:11:53.260000+06:30,2013-01-09,25.329,95.04799999999999,93.0,5.8,mww,Sagaing
204,1995-05-04 19:56:40.360000+06:30,1995-05-04,25.325,95.014,164.6,4.5,mb,Sagaing
205,2009-04-18 03:44:25.470000+06:30,2009-04-18,25.324,95.098,104.8,4.6,mb,Sagaing
206,1988-08-14 02:29:51.100000+06:30,1988-08-14,25.32,95.156,92.0,5.1,mw,Sagaing
207,2004-10-08 12:58:28.290000+06:30,2004-10-08,25.314,95.775,56.5,4.7,mb,Sagaing
208,1997-02-02 21:00:05.930000+06:30,1997-02-02,25.311999999999998,96.522,62.6,3.8,mb,Kachin
209,2010-07-03 00:50:25.160000+06:30,2010-07-03,25.309,96.74700000000001,35.0,4.4,mb,Kachin
210,1988-05-12 05:34:44.950000+06:30,1988-05-12,25.309,96.37899999999999,49.9,4.4,mb,Kachin
211,1995-08-30 12:49:45.630000+06:30,1995-08-30,25.304000000000002,95.04700000000001,56.0,4.3,mb,Sagaing
212,1988-08-21 19:46:28.950000+06:30,1988-08-21,25.303,95.09899999999999,80.8,5.2,mw,Sagaing
213,2019-10-20 19:42:17.151000+06:30,2019-10-20,25.2929,96.9871,10.0,4.3,mb,Kachin
214,1995-05-09 16:24:20.190000+06:30,1995-05-09,25.29,95.155,91.8,5.2,mw,Sagaing
215,2019-08-03 18:49:16.719000+06:30,2019-08-03,25.2858,96.8919,10.0,4.8,mb,Kachin
216,2004-06-19 16:54:55.010000+06:30,2004-06-19,25.283,95.575,47.3,4.6,mb,Sagaing
217,2009-08-31 01:57:48.840000+06:30,2009-08-31,25.28,95.101,82.2,5.3,mwc,Sagaing
218,1991-02-07 02:08:41.100000+06:30,1991-02-07,25.273000000000003,95.41,137.8,4.0,mb,Sagaing
219,2004-03-28 00:58:38.880000+06:30,2004-03-28,25.269000000000002,95.471,113.9,4.1,mb,Sagaing
220,1971-05-31 11:44:00+06:30,1971-05-31,25.266,96.505,20.0,6.1,mw,Kachin
221,1971-05-30 22:14:18+06:30,1971-05-30,25.264,96.389,15.0,6.3,mw,Kachin
222,1991-05-25 23:37:34.190000+06:30,1991-05-25,25.263,95.17,85.8,4.6,mb,Sagaing
223,2003-03-18 14:50:16.950000+06:30,2003-03-18,25.239,95.135,104.4,4.5,mb,Sagaing
224,1979-11-25 09:10:49.800000+06:30,1979-11-25,25.236,96.289,50.0,5.1,ms,Kachin
225,1988-09-17 23:15:05.550000+06:30,1988-09-17,25.232,95.161,103.2,4.6,mb,Sagaing
226,2009-05-19 14:04:59.150000+06:30,2009-05-19,25.228,96.463,43.8,4.2,mb,Kachin
227,2004-07-24 12:59:28.920000+06:30,2004-07-24,25.215,95.35700000000001,57.8,4.1,mb,Sagaing
228,2004-06-03 19:31:21.660000+06:30,2004-06-03,25.212,95.12,103.0,4.8,mb,Sagaing
229,1998-03-11 22:04:06.960000+06:30,1998-03-11,25.21,95.1,97.6,4.5,mb,Sagaing
230,1992-12-22 06:49:18.360000+06:30,1992-12-22,25.209,95.34,33.0,4.0,mb,Sagaing
231,2005-02-22 00:56:15.370000+06:30,2005-02-22,25.204,96.439,53.4,3.8,mb,Kachin
232,2012-01-12 04:53:20.470000+06:30,2012-01-12,25.203000000000003,95.15299999999999,105.3,4.6,mb,Sagaing
233,1979-06-01 02:10:28.700000+06:30,1979-06-01,25.19,95.134,109.0,4.7,mb,Sagaing
234,1990-01-23 22:10:53.330000+06:30,1990-01-23,25.185,96.42399999999999,33.0,4.7,mb,Kachin
235,2000-03-18 23:08:23.180000+06:30,2000-03-18,25.18,95.139,116.1,4.7,mb,Sagaing
236,2012-09-01 01:40:10.910000+06:30,2012-09-01,25.175,96.895,35.0,4.6,mb,Kachin
237,1996-07-26 19:39:05.490000+06:30,1996-07-26,25.169,96.25299999999999,33.0,5.4,mwc,Kachin
238,1998-04-16 01:16:18.500000+06:30,1998-04-16,25.163,96.617,33.0,4.0,mb,Kachin
239,1981-04-05 04:28:16.490000+06:30,1981-04-05,25.16,95.259,93.9,4.4,mb,Sagaing
240,1998-04-10 11:29:29.520000+06:30,1998-04-10,25.158,95.255,100.0,3.9,mb,Sagaing
241,1996-12-05 08:10:41.470000+06:30,1996-12-05,25.15,96.20200000000001,149.7,3.6,mb,Kachin
242,1988-08-06 07:06:24.650000+06:30,1988-08-06,25.149,95.12700000000001,90.5,7.3,mw,Sagaing
243,1991-07-19 13:35:29.570000+06:30,1991-07-19,25.149,95.259,121.0,4.8,mb,Sagaing
244,2010-08-30 16:09:26.180000+06:30,2010-08-30,25.148000000000003,95.176,111.6,4.7,mb,Sagaing
245,1999-06-09 21:51:53.200000+06:30,1999-06-09,25.147,95.12299999999999,121.8,4.2,mb,Sagaing
246,1993-10-03 05:34:46.490000+06:30,1993-10-03,25.147,96.32600000000001,33.0,4.0,mb,Kachin
247,1986-07-02 08:39:58.990000+06:30,1986-07-02,25.141,96.74600000000001,33.0,4.4,mb,Kachin
248,1984-07-24 20:34:40.920000+06:30,1984-07-24,25.138,96.131,33.0,4.1,mb,Kachin
